Tick,Attribute.Component,Origin,Failed Behaviour
0.0,geometry.motor,geometry.motor,
0.0,material.nozzle,material.nozzle,
1.0,material.motor,material.motor,
2.0,geometry.body,geometry.motor,
2.0,temperature.motor,temperature.motor,
2.0,geometry.fan,geometry.fan,
2.0,power.fan,power.fan,
2.0,geometry.nozzle,material.nozzle,
2.0,material.body,material.body,
3.0,material.motor,geometry.motor,
3.0,material.fan,power.fan,
4.0,power.motor,temperature.motor,
4.0,material.motor,geometry.fan,
4.0,rot.speed.fan,geometry.fan,
4.0,material.motor,geometry.nozzle,
4.0,temperature.nozzle,geometry.body,
4.0,material.motor,material.body,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
