Tick,Attribute.Component,Origin,Failed Behaviour
0.0,rot.speed.fan,rot.speed.fan,
0.0,material.fan,material.fan,
1.0,power.fan,material.fan,
1.0,material.heater,material.heater,
2.0,material.motor,material.motor,
2.0,power.motor,power.motor,
2.0,temperature.motor,temperature.motor,
2.0,geometry.fan,rot.speed.fan,
2.0,geometry.nozzle,geometry.nozzle,
3.0,geometry.motor,material.motor,
3.0,geometry.heater,material.heater,
3.0,material.body,material.body,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
