Tick,Attribute.Component,Origin
0,material.fan,material.fan
0,geometry.nozzle,geometry.nozzle
1,geometry.motor,geometry.motor
1,power.fan,power.fan
1,material.heater,material.heater
2,power.motor,material.fan
2,temperature.heater,temperature.heater
3,geometry.body,geometry.motor
4,temperature.motor,geometry.motor
4,power.heater,geometry.motor
4,material.body,material.body
5,rot.speed.fan,rot.speed.fan
5,material.nozzle,material.heater
6,geometry.fan,geometry.fan
6,temperature.nozzle,power.fan
7,geometry.heater,material.fan
8,material.motor,material.motor
