Tick,Attribute.Component,Origin,Failed Behaviour
0.0,temperature.motor,temperature.motor,
0.0,power.fan,power.fan,
0.0,material.heater,material.heater,
2.0,geometry.heater,temperature.motor,
2.0,geometry.nozzle,temperature.motor,
2.0,geometry.fan,geometry.fan,
2.0,temperature.heater,power.fan,
2.0,material.nozzle,material.heater,
3.0,rot.speed.fan,geometry.fan,
3.0,material.body,power.fan,
3.0,power.heater,power.heater,
3.0,material.fan,material.nozzle,
3.0,temperature.nozzle,material.nozzle,
4.0,geometry.motor,geometry.motor,
4.0,power.motor,power.motor,
4.0,geometry.body,material.heater,
5.0,material.motor,temperature.motor,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
