Tick,Attribute,Component,Origin,Failed Behaviour
1.0,material,motor,self,
1.0,geometry,fan,self,
2.0,geometry,motor,geometry from fan,
,,,,"`Movement failed cause conditions where achivied: ['material', 'geometry'] FAILED"
