Tick,Attribute.Component,Origin
0,power.motor,power.motor
0,temperature.motor,temperature.motor
0,temperature.heater,temperature.heater
1,geometry.motor,geometry.motor
1,temperature.heater,temperature.motor
1,geometry.fan,geometry.fan
1,material.fan,material.fan
2,geometry.nozzle,temperature.motor
2,material.body,temperature.heater
2,geometry.body,geometry.body
3,geometry.motor,temperature.motor
3,geometry.body,temperature.heater
4,material.motor,material.motor
4,material.motor,temperature.motor
4,rot.speed.fan,temperature.motor
4,geometry.heater,temperature.motor
4,material.body,temperature.motor
4,geometry.heater,geometry.fan
4,power.heater,geometry.fan
4,power.fan,temperature.heater
4,power.fan,geometry.nozzle
4,material.body,geometry.nozzle
