Tick,Attribute.Component,Origin
0,geometry.motor,geometry.motor
0,power.heater,power.heater
1,material.fan,material.fan
1,material.heater,material.heater
1,material.nozzle,power.heater
1,temperature.heater,temperature.heater
2,geometry.fan,geometry.motor
2,power.fan,geometry.motor
2,power.motor,power.motor
2,geometry.heater,power.heater
2,temperature.motor,temperature.heater
2,geometry.nozzle,geometry.nozzle
2,material.body,material.nozzle
3,material.motor,material.motor
3,rot.speed.fan,material.nozzle
3,geometry.body,material.nozzle
