Tick,Attribute.Component,Origin
0,temperature.motor,temperature.motor
0,material.body,material.body
1,temperature.heater,temperature.motor
1,material.fan,material.fan
1,power.fan,material.body
1,material.nozzle,material.body
2,geometry.nozzle,temperature.motor
2,geometry.fan,geometry.fan
2,power.heater,power.heater
2,power.heater,material.nozzle
2,geometry.heater,material.body
2,temperature.heater,material.body
2,geometry.nozzle,material.body
2,temperature.nozzle,material.body
3,geometry.motor,temperature.motor
3,material.body,temperature.motor
3,rot.speed.fan,rot.speed.fan
3,material.motor,geometry.heater
3,rot.speed.fan,material.nozzle
3,temperature.heater,temperature.nozzle
4,material.motor,temperature.motor
4,rot.speed.fan,temperature.motor
4,geometry.heater,temperature.motor
4,geometry.motor,power.fan
4,power.heater,power.fan
4,temperature.heater,power.fan
4,geometry.nozzle,power.fan
4,rot.speed.fan,temperature.nozzle
4,geometry.nozzle,temperature.nozzle
4,geometry.body,geometry.body
5,geometry.motor,geometry.fan
5,geometry.heater,geometry.fan
5,geometry.fan,power.fan
5,geometry.heater,power.fan
5,temperature.nozzle,material.nozzle
6,power.motor,power.motor
6,geometry.motor,material.fan
6,geometry.fan,material.fan
6,geometry.heater,material.fan
6,material.nozzle,material.fan
6,geometry.body,temperature.heater
6,material.fan,material.body
