Tick,Attribute.Component,Origin
0,material.heater,material.heater
0,power.heater,power.heater
1,material.motor,material.motor
1,power.motor,power.motor
1,material.nozzle,power.heater
1,geometry.nozzle,geometry.nozzle
2,material.fan,material.fan
2,power.fan,power.heater
3,geometry.fan,geometry.fan
3,temperature.motor,geometry.nozzle
3,power.fan,geometry.nozzle
3,material.body,geometry.nozzle
3,rot.speed.fan,material.nozzle
4,geometry.heater,material.motor
4,temperature.heater,temperature.motor
4,geometry.nozzle,material.fan
4,material.body,power.fan
4,geometry.motor,material.heater
4,material.body,material.heater
4,material.motor,power.heater
