Tick,Attribute.Component,Origin
0,geometry.fan,geometry.fan
0,material.fan,material.fan
0,material.body,material.body
1,geometry.nozzle,geometry.nozzle
1,power.fan,material.body
1,material.nozzle,material.body
2,power.heater,power.heater
2,temperature.heater,material.body
2,geometry.nozzle,material.body
3,geometry.heater,material.fan
3,geometry.nozzle,power.fan
3,temperature.motor,temperature.heater
3,rot.speed.fan,material.nozzle
3,power.heater,material.nozzle
3,geometry.body,material.nozzle
4,geometry.motor,geometry.motor
4,material.motor,material.motor
4,material.body,material.fan
4,temperature.heater,power.fan
4,material.motor,geometry.heater
5,geometry.nozzle,temperature.motor
5,geometry.motor,geometry.fan
5,material.fan,geometry.fan
5,temperature.nozzle,rot.speed.fan
5,geometry.heater,power.fan
5,geometry.fan,power.heater
5,geometry.heater,power.heater
5,temperature.nozzle,temperature.heater
5,temperature.heater,geometry.body
6,temperature.nozzle,material.nozzle
6,material.body,geometry.body
7,geometry.motor,temperature.motor
7,material.motor,temperature.motor
7,geometry.heater,temperature.motor
7,material.motor,power.heater
7,temperature.nozzle,geometry.nozzle
8,power.motor,power.motor
8,rot.speed.fan,temperature.motor
8,geometry.nozzle,material.fan
8,geometry.motor,power.fan
8,power.heater,power.fan
8,geometry.body,geometry.body
