Tick,Attribute.Component,Origin
0,geometry.motor,geometry.motor
0,geometry.fan,geometry.fan
0,rot.speed.fan,rot.speed.fan
0,material.fan,material.fan
0,power.fan,power.fan
0,power.heater,power.heater
1,temperature.motor,temperature.motor
1,material.body,power.fan
1,material.heater,material.heater
1,material.nozzle,power.heater
2,geometry.fan,geometry.motor
2,power.motor,power.motor
2,temperature.nozzle,rot.speed.fan
2,geometry.fan,power.heater
2,geometry.heater,power.heater
2,material.body,material.nozzle
3,material.nozzle,rot.speed.fan
3,geometry.motor,power.fan
3,temperature.heater,power.fan
3,geometry.nozzle,power.fan
3,material.heater,material.heater
4,temperature.heater,temperature.motor
4,geometry.nozzle,temperature.motor
4,material.body,geometry.heater
4,geometry.motor,power.heater
5,geometry.motor,temperature.motor
5,material.motor,temperature.motor
5,rot.speed.fan,temperature.motor
5,geometry.heater,temperature.motor
5,material.body,temperature.motor
5,geometry.heater,geometry.fan
5,geometry.fan,material.fan
5,geometry.heater,material.fan
5,temperature.nozzle,temperature.heater
