Tick,Attribute.Component,Origin
0,temperature.motor,temperature.motor
1,geometry.fan,geometry.fan
2,geometry.nozzle,temperature.motor
2,temperature.heater,temperature.heater
2,material.body,material.body
3,power.motor,power.motor
3,geometry.motor,temperature.motor
3,temperature.heater,temperature.motor
3,material.body,temperature.motor
3,material.fan,material.fan
4,material.motor,temperature.motor
4,geometry.heater,temperature.motor
4,geometry.heater,geometry.fan
4,temperature.nozzle,temperature.heater
4,material.fan,geometry.nozzle
4,power.fan,geometry.nozzle
4,temperature.nozzle,geometry.nozzle
4,power.fan,material.body
