Tick,Attribute.Component,Origin
0,temperature.motor,temperature.motor
0,geometry.fan,geometry.fan
0,material.heater,material.heater
0,power.heater,power.heater
1,material.nozzle,power.heater
1,geometry.body,geometry.body
1,material.body,material.body
2,power.motor,power.motor
2,temperature.heater,temperature.motor
2,geometry.nozzle,temperature.motor
2,geometry.fan,power.heater
2,material.body,material.nozzle
3,geometry.motor,temperature.motor
3,material.fan,material.fan
3,temperature.nozzle,material.heater
3,geometry.heater,power.heater
3,temperature.nozzle,temperature.heater
3,rot.speed.fan,material.nozzle
3,temperature.heater,geometry.body
4,material.motor,material.motor
4,material.motor,temperature.motor
4,geometry.heater,temperature.motor
4,material.body,temperature.motor
4,geometry.motor,material.heater
4,material.body,material.heater
4,power.fan,power.heater
