Tick,Attribute.Component,Origin
0,power.fan,power.fan
0,material.heater,material.heater
0,temperature.heater,temperature.heater
1,material.motor,material.motor
1,temperature.motor,temperature.motor
1,material.body,temperature.heater
2,temperature.heater,temperature.motor
2,geometry.motor,power.fan
2,power.heater,power.fan
2,geometry.nozzle,power.fan
2,material.nozzle,material.body
3,geometry.heater,material.motor
3,geometry.nozzle,temperature.motor
3,temperature.heater,power.fan
3,temperature.nozzle,material.heater
3,power.heater,material.nozzle
3,geometry.heater,material.body
3,geometry.nozzle,material.body
4,geometry.fan,geometry.motor
4,rot.speed.fan,rot.speed.fan
4,geometry.motor,material.heater
4,material.heater,material.heater
4,rot.speed.fan,material.nozzle
4,temperature.nozzle,material.body
4,geometry.body,material.body
5,temperature.motor,material.motor
5,power.motor,power.motor
5,material.body,power.fan
5,geometry.body,material.nozzle
