Tick,Attribute.Component,Origin
0,geometry.motor,geometry.motor
0,material.body,material.body
1,material.motor,material.motor
1,power.fan,power.fan
1,power.fan,material.body
1,material.nozzle,material.body
2,geometry.fan,geometry.motor
2,geometry.heater,material.motor
2,geometry.heater,material.body
2,geometry.nozzle,material.body
3,temperature.motor,geometry.motor
3,rot.speed.fan,rot.speed.fan
3,geometry.motor,power.fan
3,geometry.nozzle,power.fan
3,temperature.heater,material.body
3,geometry.body,material.body
4,power.heater,power.fan
4,temperature.heater,power.fan
4,rot.speed.fan,material.nozzle
4,power.heater,material.nozzle
4,temperature.motor,material.body
4,material.heater,material.body
4,temperature.nozzle,material.body
5,temperature.motor,material.motor
5,temperature.motor,temperature.heater
5,temperature.motor,geometry.nozzle
5,temperature.heater,geometry.body
6,geometry.motor,material.motor
6,rot.speed.fan,material.motor
6,material.body,material.motor
6,power.motor,power.motor
6,power.motor,geometry.heater
6,temperature.motor,geometry.heater
6,power.heater,geometry.heater
6,temperature.nozzle,temperature.heater
