Tick,Attribute.Component,Origin
0,rot.speed.fan,rot.speed.fan
1,geometry.motor,geometry.motor
1,power.motor,power.motor
1,power.fan,power.fan
1,material.heater,material.heater
1,power.heater,power.heater
2,temperature.motor,temperature.motor
2,material.nozzle,rot.speed.fan
2,temperature.nozzle,rot.speed.fan
2,material.fan,material.fan
2,material.body,power.fan
2,material.nozzle,power.heater
2,geometry.nozzle,geometry.nozzle
3,temperature.heater,temperature.motor
3,power.heater,power.fan
3,geometry.nozzle,power.fan
3,temperature.heater,temperature.nozzle
3,temperature.heater,material.body
3,material.nozzle,material.body
4,temperature.motor,geometry.motor
4,power.fan,geometry.motor
4,temperature.nozzle,material.heater
4,geometry.nozzle,material.body
5,power.motor,geometry.motor
5,material.motor,rot.speed.fan
5,geometry.heater,material.fan
5,material.nozzle,material.fan
5,material.body,material.heater
5,geometry.heater,power.heater
5,geometry.body,temperature.heater
