Tick,Attribute.Component,Origin
0,temperature.motor,temperature.motor
0,power.heater,power.heater
0,geometry.nozzle,geometry.nozzle
1,temperature.heater,temperature.motor
1,geometry.fan,geometry.fan
1,geometry.body,geometry.body
1,material.body,material.body
2,material.motor,material.motor
2,geometry.nozzle,temperature.motor
2,material.fan,material.fan
2,material.heater,material.heater
2,geometry.heater,power.heater
2,material.nozzle,material.body
3,geometry.motor,temperature.motor
3,power.fan,power.heater
3,material.nozzle,power.heater
3,temperature.nozzle,temperature.heater
3,geometry.body,temperature.heater
3,geometry.heater,material.body
3,temperature.nozzle,material.body
4,geometry.heater,material.motor
4,power.motor,power.motor
4,material.motor,temperature.motor
4,rot.speed.fan,temperature.motor
4,geometry.heater,temperature.motor
4,material.body,temperature.heater
4,power.fan,geometry.nozzle
4,temperature.nozzle,geometry.nozzle
4,material.body,geometry.nozzle
