Tick,Attribute.Component,Origin
0,power.motor,power.motor
0,geometry.fan,geometry.fan
0,material.body,material.body
1,temperature.motor,temperature.motor
1,power.fan,power.fan
1,material.heater,material.heater
2,material.motor,material.motor
2,temperature.heater,temperature.motor
2,material.nozzle,material.nozzle
2,power.fan,material.body
2,temperature.nozzle,material.body
3,geometry.heater,material.motor
3,geometry.nozzle,temperature.motor
3,geometry.heater,geometry.fan
3,power.heater,material.nozzle
3,material.body,material.nozzle
4,geometry.motor,geometry.motor
4,geometry.heater,power.motor
4,geometry.motor,temperature.motor
4,material.body,temperature.motor
4,geometry.nozzle,power.fan
4,temperature.nozzle,material.heater
4,geometry.body,temperature.heater
