Tick,Attribute.Component,Origin
0,geometry.fan,geometry.fan
0,material.fan,material.fan
0,material.heater,material.heater
0,power.heater,power.heater
0,temperature.heater,temperature.heater
1,temperature.motor,temperature.motor
1,rot.speed.fan,rot.speed.fan
1,temperature.motor,temperature.heater
2,power.motor,power.motor
2,power.fan,power.fan
2,temperature.nozzle,temperature.heater
2,geometry.body,temperature.heater
3,geometry.nozzle,temperature.motor
3,power.heater,geometry.fan
3,temperature.nozzle,rot.speed.fan
3,geometry.heater,material.fan
3,material.body,power.fan
3,power.fan,temperature.heater
4,geometry.motor,geometry.motor
4,geometry.motor,temperature.motor
4,geometry.motor,geometry.fan
4,material.nozzle,rot.speed.fan
4,material.nozzle,material.fan
4,temperature.nozzle,material.heater
4,material.body,material.heater
4,material.nozzle,power.heater
4,material.nozzle,geometry.body
5,material.motor,temperature.motor
5,rot.speed.fan,temperature.motor
5,geometry.heater,temperature.motor
5,material.body,temperature.motor
5,material.fan,geometry.fan
5,geometry.motor,material.heater
5,geometry.heater,power.heater
5,power.fan,geometry.nozzle
5,temperature.nozzle,geometry.nozzle
5,material.body,geometry.nozzle
5,material.body,geometry.body
