Tick,Attribute.Component,Origin
0,rot.speed.fan,rot.speed.fan
0,material.body,material.body
1,geometry.motor,geometry.motor
1,material.fan,material.fan
1,power.fan,power.fan
1,material.heater,material.heater
1,material.nozzle,material.body
2,power.motor,power.motor
2,temperature.nozzle,rot.speed.fan
2,material.body,power.fan
2,power.heater,material.nozzle
3,geometry.fan,geometry.motor
3,material.nozzle,rot.speed.fan
3,geometry.nozzle,power.fan
4,temperature.motor,geometry.motor
4,power.heater,geometry.motor
4,geometry.heater,material.fan
4,temperature.heater,power.fan
4,temperature.nozzle,material.heater
4,geometry.heater,material.body
4,geometry.nozzle,material.body
5,power.fan,geometry.motor
5,material.heater,geometry.motor
5,temperature.heater,temperature.motor
5,material.motor,rot.speed.fan
5,temperature.motor,rot.speed.fan
5,material.body,rot.speed.fan
5,material.motor,geometry.heater
