Tick,Attribute.Component,Origin
0,power.fan,power.fan
0,temperature.heater,temperature.heater
1,material.heater,material.heater
1,temperature.motor,temperature.heater
1,temperature.nozzle,temperature.heater
1,material.body,temperature.heater
2,geometry.fan,geometry.fan
2,geometry.nozzle,power.fan
2,geometry.body,temperature.heater
2,power.fan,material.body
2,material.nozzle,material.body
3,geometry.motor,geometry.motor
3,power.motor,power.motor
3,geometry.nozzle,temperature.motor
3,power.fan,temperature.heater
3,power.heater,material.nozzle
3,material.body,temperature.nozzle
4,material.motor,material.motor
4,rot.speed.fan,rot.speed.fan
4,temperature.nozzle,material.heater
4,rot.speed.fan,material.nozzle
4,material.nozzle,geometry.body
