Tick,Attribute.Component,Origin
0,geometry.motor,geometry.motor
0,material.motor,material.motor
0,temperature.motor,temperature.motor
0,material.body,material.body
1,geometry.heater,material.motor
1,geometry.fan,geometry.fan
1,rot.speed.fan,rot.speed.fan
1,power.fan,power.fan
2,geometry.fan,geometry.motor
2,power.fan,geometry.motor
2,temperature.heater,temperature.motor
2,geometry.nozzle,temperature.motor
2,geometry.heater,material.body
2,geometry.nozzle,material.body
3,power.heater,material.motor
3,power.motor,power.motor
3,material.body,temperature.motor
3,material.body,power.fan
