Tick,Attribute.Component,Origin
0,geometry.fan,geometry.fan
0,power.fan,power.fan
0,geometry.nozzle,geometry.nozzle
1,geometry.motor,geometry.motor
1,material.motor,material.motor
1,material.fan,material.fan
1,material.body,material.body
2,temperature.motor,temperature.motor
2,geometry.motor,geometry.fan
2,geometry.motor,power.fan
2,power.heater,power.fan
2,material.body,power.fan
2,temperature.motor,geometry.nozzle
2,power.fan,geometry.nozzle
2,temperature.nozzle,geometry.nozzle
2,material.body,geometry.nozzle
3,material.nozzle,power.heater
3,temperature.heater,temperature.nozzle
4,geometry.heater,material.fan
4,material.fan,geometry.nozzle
4,material.body,material.nozzle
4,rot.speed.fan,temperature.nozzle
5,temperature.motor,geometry.motor
5,temperature.motor,material.motor
5,power.heater,material.motor
5,material.fan,geometry.fan
5,temperature.heater,power.fan
5,geometry.body,geometry.nozzle
5,rot.speed.fan,material.nozzle
5,material.heater,temperature.nozzle
6,material.heater,geometry.motor
6,power.heater,geometry.motor
6,geometry.motor,material.motor
6,material.body,material.motor
6,geometry.nozzle,geometry.fan
6,power.heater,geometry.heater
6,material.body,geometry.heater
6,temperature.motor,temperature.heater
7,rot.speed.fan,material.motor
7,geometry.heater,material.motor
7,geometry.heater,power.fan
7,geometry.body,temperature.heater
7,material.nozzle,temperature.nozzle
7,material.body,temperature.nozzle
8,power.motor,power.motor
8,geometry.fan,power.heater
