Tick,Attribute.Component,Origin
0,geometry.fan,geometry.fan
0,temperature.heater,temperature.heater
0,material.body,material.body
1,power.motor,power.motor
1,rot.speed.fan,rot.speed.fan
1,power.fan,power.fan
1,temperature.motor,temperature.heater
1,material.body,temperature.heater
2,power.heater,geometry.fan
2,material.fan,material.fan
2,geometry.body,temperature.heater
2,power.fan,material.body
3,geometry.nozzle,temperature.motor
3,material.nozzle,rot.speed.fan
3,material.nozzle,power.heater
3,material.nozzle,material.body
3,temperature.nozzle,material.body
4,geometry.motor,temperature.motor
4,geometry.heater,geometry.fan
4,geometry.nozzle,power.fan
4,material.heater,material.heater
4,power.fan,power.heater
4,power.fan,temperature.heater
4,material.nozzle,geometry.body
4,material.fan,material.body
5,geometry.heater,power.motor
5,material.motor,temperature.motor
5,rot.speed.fan,temperature.motor
5,geometry.heater,temperature.motor
5,material.fan,geometry.fan
5,geometry.motor,power.heater
5,geometry.heater,power.heater
5,geometry.nozzle,temperature.heater
5,rot.speed.fan,temperature.nozzle
5,geometry.heater,material.body
5,material.heater,material.body
5,geometry.nozzle,material.body
5,geometry.body,material.body
