Tick,Attribute.Component,Origin
1,material.motor,material.motor
1,geometry.fan,geometry.fan
1,material.heater,material.heater
1,material.body,material.body
2,temperature.motor,temperature.motor
2,rot.speed.fan,rot.speed.fan
2,temperature.heater,temperature.heater
2,power.fan,material.body
3,geometry.heater,material.motor
3,geometry.heater,material.body
4,geometry.motor,geometry.motor
4,temperature.heater,temperature.motor
4,geometry.nozzle,temperature.motor
4,material.nozzle,rot.speed.fan
4,power.heater,power.fan
4,geometry.nozzle,power.fan
4,material.fan,material.body
4,temperature.nozzle,material.body
4,geometry.body,material.body
5,temperature.motor,material.motor
5,geometry.motor,power.fan
5,power.heater,geometry.heater
5,geometry.motor,material.heater
5,material.body,material.heater
5,material.body,material.nozzle
6,geometry.motor,material.motor
6,material.body,material.motor
6,material.fan,geometry.fan
6,power.fan,geometry.fan
6,geometry.nozzle,geometry.fan
6,material.nozzle,power.heater
6,temperature.nozzle,temperature.heater
6,geometry.body,temperature.heater
6,material.body,temperature.heater
7,power.motor,power.motor
7,geometry.motor,geometry.fan
7,material.motor,rot.speed.fan
7,temperature.motor,geometry.heater
7,material.fan,geometry.heater
7,power.fan,geometry.heater
7,temperature.nozzle,material.heater
7,power.fan,temperature.heater
