Tick,Attribute.Component,Origin
1,power.fan,power.fan
1,temperature.heater,temperature.heater
2,temperature.motor,temperature.motor
2,material.body,power.fan
2,power.heater,power.heater
2,temperature.motor,temperature.heater
3,geometry.nozzle,power.fan
3,material.heater,material.heater
3,material.nozzle,power.heater
3,geometry.body,temperature.heater
3,temperature.heater,material.body
4,geometry.nozzle,temperature.motor
4,temperature.heater,power.fan
4,material.body,material.nozzle
5,geometry.motor,geometry.motor
5,material.motor,material.motor
5,power.motor,power.motor
5,material.body,temperature.motor
