Tick,Attribute.Component,Origin
0,material.motor,material.motor
0,power.fan,power.fan
0,temperature.heater,temperature.heater
1,geometry.heater,material.motor
1,material.body,power.fan
1,material.body,temperature.heater
2,power.motor,power.motor
2,geometry.fan,geometry.fan
2,rot.speed.fan,rot.speed.fan
2,material.fan,material.fan
2,geometry.nozzle,power.fan
2,temperature.motor,temperature.heater
2,material.nozzle,material.body
3,geometry.motor,geometry.motor
3,power.heater,power.fan
3,temperature.heater,power.fan
3,power.heater,material.nozzle
3,geometry.heater,material.body
3,geometry.nozzle,material.body
