Tick,Attribute.Component,Origin
0,material.body,material.body
1,geometry.motor,geometry.motor
1,material.motor,material.motor
1,temperature.motor,temperature.motor
2,geometry.heater,material.motor
2,temperature.heater,temperature.motor
2,rot.speed.fan,rot.speed.fan
2,power.fan,material.body
2,geometry.heater,material.body
2,geometry.nozzle,material.body
2,material.nozzle,material.body
3,power.heater,material.motor
3,geometry.nozzle,temperature.motor
3,geometry.fan,geometry.fan
3,material.fan,material.fan
3,material.body,temperature.heater
4,temperature.motor,geometry.motor
4,power.fan,geometry.motor
4,power.motor,power.motor
4,material.nozzle,rot.speed.fan
4,material.nozzle,power.heater
4,geometry.body,temperature.heater
