Tick,Attribute.Component,Origin
0,power.heater,power.heater
1,material.motor,material.motor
1,temperature.motor,temperature.motor
1,geometry.fan,geometry.fan
1,rot.speed.fan,rot.speed.fan
1,power.fan,power.fan
2,geometry.heater,material.motor
2,temperature.heater,temperature.motor
2,material.body,power.fan
2,geometry.fan,power.heater
2,power.fan,power.heater
2,geometry.heater,power.heater
2,material.nozzle,power.heater
3,geometry.motor,geometry.motor
3,geometry.nozzle,temperature.motor
3,temperature.nozzle,rot.speed.fan
3,material.motor,power.heater
3,temperature.heater,material.body
4,material.body,temperature.motor
4,material.nozzle,rot.speed.fan
4,geometry.nozzle,power.fan
4,material.body,geometry.heater
5,power.fan,geometry.motor
5,geometry.motor,temperature.motor
5,material.motor,temperature.motor
5,geometry.heater,temperature.motor
5,temperature.motor,rot.speed.fan
5,material.body,material.nozzle
5,geometry.nozzle,temperature.nozzle
6,material.motor,rot.speed.fan
6,geometry.motor,power.heater
6,power.fan,temperature.heater
6,material.body,temperature.nozzle
7,power.motor,power.motor
7,material.fan,geometry.fan
7,power.fan,geometry.fan
7,geometry.body,temperature.heater
7,material.body,geometry.nozzle
7,material.heater,temperature.nozzle
7,temperature.heater,temperature.nozzle
