Tick,Attribute.Component,Origin
0,power.fan,power.fan
1,geometry.motor,geometry.motor
1,temperature.motor,temperature.motor
1,material.body,power.fan
2,geometry.nozzle,power.fan
2,power.heater,power.heater
3,geometry.fan,geometry.motor
3,power.motor,power.motor
3,temperature.heater,temperature.motor
3,geometry.nozzle,temperature.motor
3,geometry.motor,power.fan
3,temperature.heater,power.fan
3,geometry.nozzle,material.body
4,material.motor,material.motor
4,material.body,temperature.motor
4,rot.speed.fan,rot.speed.fan
4,material.fan,material.fan
4,geometry.fan,power.heater
4,power.fan,power.heater
4,material.nozzle,power.heater
4,temperature.nozzle,temperature.heater
