Tick,Attribute.Component,Origin
0,geometry.motor,geometry.motor
0,material.fan,material.fan
0,material.heater,material.heater
0,temperature.heater,temperature.heater
0,geometry.nozzle,geometry.nozzle
1,material.motor,material.motor
2,geometry.fan,geometry.fan
2,temperature.motor,temperature.heater
2,temperature.motor,geometry.nozzle
2,material.fan,geometry.nozzle
2,power.fan,geometry.nozzle
2,material.body,geometry.nozzle
3,power.fan,geometry.motor
3,geometry.heater,material.motor
3,power.motor,power.motor
3,temperature.nozzle,temperature.heater
3,material.nozzle,material.body
