Tick,Attribute.Component,Origin
0,material.motor,material.motor
0,temperature.motor,temperature.motor
0,rot.speed.fan,rot.speed.fan
1,geometry.heater,material.motor
1,temperature.heater,temperature.motor
2,geometry.nozzle,temperature.motor
2,material.nozzle,rot.speed.fan
2,temperature.nozzle,temperature.heater
3,power.motor,power.motor
3,material.body,temperature.motor
3,temperature.nozzle,rot.speed.fan
3,power.heater,geometry.heater
3,geometry.body,temperature.heater
4,geometry.motor,geometry.motor
4,temperature.motor,material.motor
4,power.fan,power.fan
4,power.fan,geometry.nozzle
4,temperature.nozzle,geometry.nozzle
4,material.body,geometry.nozzle
4,geometry.body,material.nozzle
4,material.body,material.nozzle
