Tick,Attribute.Component,Origin
0,power.fan,power.fan
0,material.heater,material.heater
1,power.motor,power.motor
2,geometry.motor,geometry.motor
2,geometry.fan,geometry.fan
2,material.fan,material.fan
2,power.heater,power.fan
2,geometry.nozzle,power.fan
2,material.body,power.fan
2,material.heater,material.heater
2,temperature.heater,temperature.heater
2,geometry.body,geometry.body
3,material.motor,material.motor
3,geometry.motor,power.fan
3,temperature.heater,power.fan
3,material.nozzle,power.heater
