Tick,Attribute.Component,Origin
0,temperature.motor,temperature.motor
0,material.heater,material.heater
0,geometry.nozzle,geometry.nozzle
0,material.body,material.body
1,power.motor,power.motor
1,temperature.heater,temperature.motor
1,geometry.fan,geometry.fan
1,rot.speed.fan,rot.speed.fan
1,temperature.heater,material.body
2,geometry.motor,geometry.motor
2,geometry.nozzle,temperature.motor
2,power.fan,power.fan
2,geometry.heater,material.body
2,geometry.nozzle,material.body
3,material.nozzle,rot.speed.fan
3,temperature.nozzle,rot.speed.fan
3,material.body,power.fan
3,material.motor,geometry.heater
3,material.heater,material.heater
3,power.heater,power.heater
3,geometry.body,temperature.heater
