Tick,Attribute.Component,Origin
0,temperature.motor,temperature.motor
0,material.body,material.body
1,power.motor,power.motor
1,temperature.heater,temperature.motor
2,geometry.motor,geometry.motor
2,geometry.nozzle,temperature.motor
2,rot.speed.fan,rot.speed.fan
2,power.fan,power.fan
2,material.heater,material.heater
2,material.nozzle,material.body
3,material.body,temperature.motor
3,material.fan,material.fan
4,material.motor,temperature.motor
4,geometry.heater,temperature.motor
4,geometry.fan,geometry.fan
4,geometry.nozzle,power.fan
4,material.body,power.fan
4,rot.speed.fan,material.nozzle
4,power.heater,material.nozzle
