Tick,Attribute.Component,Origin
0,power.motor,power.motor
0,temperature.heater,temperature.heater
0,geometry.nozzle,geometry.nozzle
1,geometry.motor,geometry.motor
1,temperature.motor,temperature.motor
1,power.heater,power.heater
1,temperature.motor,temperature.heater
1,temperature.nozzle,temperature.heater
1,material.body,material.body
2,material.motor,material.motor
2,geometry.fan,geometry.fan
2,rot.speed.fan,rot.speed.fan
2,material.nozzle,power.heater
2,geometry.body,temperature.heater
2,temperature.motor,geometry.nozzle
2,power.fan,geometry.nozzle
2,material.body,geometry.nozzle
