Tick,Attribute.Component,Origin
0,material.body,material.body
1,temperature.motor,temperature.motor
1,power.fan,power.fan
1,power.fan,material.body
2,power.motor,power.motor
2,temperature.heater,temperature.motor
2,power.heater,power.heater
2,geometry.heater,material.body
2,geometry.nozzle,material.body
2,material.nozzle,material.body
3,material.fan,material.fan
3,geometry.motor,power.fan
3,material.nozzle,power.heater
3,material.body,temperature.heater
4,material.motor,material.motor
4,geometry.nozzle,temperature.motor
4,material.body,temperature.motor
4,temperature.heater,power.fan
4,geometry.nozzle,power.fan
4,material.motor,geometry.heater
