Tick,Attribute.Component,Origin
0,material.motor,material.motor
0,rot.speed.fan,rot.speed.fan
0,power.heater,power.heater
1,geometry.heater,material.motor
1,temperature.motor,temperature.motor
1,geometry.fan,geometry.fan
1,material.nozzle,power.heater
2,material.nozzle,rot.speed.fan
2,temperature.nozzle,rot.speed.fan
2,material.fan,material.fan
2,material.heater,material.heater
2,geometry.fan,power.heater
2,geometry.heater,power.heater
2,material.body,material.body
3,geometry.motor,geometry.motor
3,geometry.nozzle,temperature.motor
3,power.fan,power.heater
4,temperature.motor,material.motor
4,temperature.motor,rot.speed.fan
4,material.body,power.fan
4,temperature.heater,temperature.heater
4,material.body,temperature.nozzle
4,geometry.body,geometry.body
5,geometry.fan,geometry.motor
5,geometry.motor,material.motor
5,material.body,material.motor
5,material.motor,rot.speed.fan
5,geometry.heater,material.fan
5,material.heater,material.heater
5,geometry.motor,power.heater
5,material.motor,power.heater
5,power.fan,geometry.nozzle
5,temperature.nozzle,geometry.nozzle
5,material.body,geometry.nozzle
5,material.body,material.nozzle
6,power.motor,power.motor
6,temperature.motor,temperature.heater
6,temperature.nozzle,temperature.heater
6,geometry.body,temperature.heater
6,material.fan,material.nozzle
