Tick,Attribute.Component,Origin
0,temperature.motor,temperature.motor
0,geometry.nozzle,geometry.nozzle
1,temperature.heater,temperature.motor
1,material.fan,material.fan
1,material.body,material.body
2,geometry.nozzle,temperature.motor
2,geometry.fan,geometry.fan
2,rot.speed.fan,rot.speed.fan
2,power.fan,power.fan
2,power.fan,material.body
2,material.nozzle,material.body
3,geometry.motor,temperature.motor
3,material.body,temperature.motor
3,material.heater,material.heater
3,power.heater,power.heater
3,geometry.body,temperature.heater
4,material.motor,temperature.motor
4,rot.speed.fan,temperature.motor
4,geometry.heater,temperature.motor
4,geometry.motor,geometry.fan
4,material.nozzle,material.fan
4,geometry.motor,power.fan
4,geometry.nozzle,power.fan
4,material.nozzle,power.heater
4,power.fan,temperature.heater
4,temperature.nozzle,temperature.heater
4,material.body,temperature.heater
5,power.motor,power.motor
5,geometry.heater,geometry.fan
5,material.heater,material.heater
5,power.fan,power.heater
