Tick,Attribute.Component,Origin
0,rot.speed.fan,rot.speed.fan
0,material.heater,material.heater
0,material.body,material.body
1,temperature.motor,temperature.motor
1,geometry.fan,geometry.fan
1,geometry.nozzle,geometry.nozzle
1,material.nozzle,material.body
2,material.motor,material.motor
2,temperature.nozzle,rot.speed.fan
2,power.heater,material.nozzle
2,power.fan,material.body
2,geometry.heater,material.body
2,geometry.nozzle,material.body
3,geometry.heater,material.motor
3,power.motor,power.motor
3,temperature.heater,temperature.motor
3,geometry.nozzle,temperature.motor
3,power.heater,geometry.fan
3,material.nozzle,rot.speed.fan
3,material.heater,material.heater
3,temperature.motor,material.body
3,temperature.nozzle,material.body
3,geometry.body,material.body
4,temperature.motor,rot.speed.fan
4,geometry.motor,power.fan
4,material.heater,material.body
