Tick,Attribute.Component,Origin
0,geometry.motor,geometry.motor
0,geometry.fan,geometry.fan
0,power.fan,power.fan
1,temperature.motor,temperature.motor
1,material.fan,material.fan
2,power.fan,geometry.motor
2,power.motor,power.motor
2,power.heater,geometry.fan
2,rot.speed.fan,rot.speed.fan
3,temperature.motor,geometry.motor
3,geometry.heater,geometry.fan
3,material.nozzle,power.heater
4,material.heater,geometry.motor
4,temperature.heater,temperature.motor
4,material.nozzle,rot.speed.fan
4,geometry.nozzle,power.fan
4,power.fan,power.heater
4,geometry.heater,power.heater
5,material.motor,geometry.motor
5,geometry.nozzle,temperature.motor
5,material.fan,geometry.fan
5,power.fan,geometry.fan
5,material.body,material.body
