Tick,Attribute.Component,Origin
0,geometry.motor,geometry.motor
0,power.motor,power.motor
0,temperature.motor,temperature.motor
1,geometry.fan,geometry.fan
1,rot.speed.fan,rot.speed.fan
2,geometry.fan,geometry.motor
2,temperature.heater,temperature.motor
2,geometry.nozzle,temperature.motor
2,material.fan,material.fan
3,temperature.motor,geometry.motor
4,material.motor,material.motor
4,geometry.motor,power.motor
4,material.nozzle,rot.speed.fan
4,power.fan,power.fan
4,temperature.nozzle,temperature.heater
4,geometry.body,temperature.heater
4,temperature.nozzle,geometry.nozzle
4,material.body,geometry.nozzle
