Tick,Attribute.Component,Origin
0,temperature.motor,temperature.motor
0,rot.speed.fan,rot.speed.fan
0,power.fan,power.fan
0,material.heater,material.heater
0,power.heater,power.heater
0,material.body,material.body
1,geometry.motor,geometry.motor
1,temperature.heater,temperature.motor
1,material.nozzle,material.nozzle
1,power.fan,material.body
1,material.nozzle,material.body
2,geometry.nozzle,temperature.motor
2,material.nozzle,rot.speed.fan
2,material.motor,power.heater
2,geometry.heater,material.body
2,geometry.nozzle,material.body
3,geometry.heater,material.motor
3,geometry.motor,temperature.motor
3,temperature.nozzle,temperature.heater
3,geometry.body,temperature.heater
3,power.heater,material.nozzle
3,material.fan,material.body
3,geometry.body,material.body
4,power.motor,power.motor
4,material.motor,temperature.motor
4,geometry.heater,temperature.motor
4,material.body,temperature.motor
4,temperature.motor,rot.speed.fan
4,temperature.heater,power.fan
4,geometry.nozzle,power.fan
4,material.body,material.heater
