Tick,Attribute.Component,Origin
0,geometry.motor,geometry.motor
0,geometry.fan,geometry.fan
0,power.heater,power.heater
0,temperature.heater,temperature.heater
1,temperature.motor,temperature.heater
2,power.fan,geometry.motor
2,power.motor,power.motor
2,power.heater,geometry.fan
3,temperature.motor,geometry.motor
3,material.nozzle,power.heater
3,power.fan,temperature.heater
3,geometry.body,temperature.heater
4,power.fan,geometry.fan
4,geometry.heater,power.heater
4,material.body,material.body
5,material.motor,geometry.motor
5,power.motor,geometry.motor
5,geometry.fan,geometry.motor
5,material.body,power.fan
5,material.motor,geometry.heater
5,material.heater,material.heater
5,power.fan,power.heater
5,rot.speed.fan,material.nozzle
5,material.body,material.nozzle
