Tick,Attribute.Component,Origin
0,temperature.motor,temperature.motor
0,power.heater,power.heater
0,geometry.nozzle,geometry.nozzle
1,temperature.heater,temperature.motor
1,geometry.fan,geometry.fan
1,material.heater,material.heater
1,material.nozzle,power.heater
1,material.body,material.body
2,geometry.motor,geometry.motor
2,material.motor,material.motor
2,power.motor,power.motor
2,geometry.nozzle,temperature.motor
2,material.fan,material.fan
2,power.fan,power.fan
2,geometry.fan,power.heater
2,geometry.heater,power.heater
2,temperature.nozzle,temperature.heater
2,material.body,material.nozzle
