Tick,Attribute.Component,Origin
0,temperature.motor,temperature.motor
0,geometry.fan,geometry.fan
0,power.fan,power.fan
0,material.heater,material.heater
1,temperature.heater,temperature.heater
2,power.motor,power.motor
2,temperature.heater,temperature.motor
2,geometry.nozzle,temperature.motor
2,power.heater,power.fan
2,geometry.nozzle,power.fan
2,material.body,power.fan
3,geometry.motor,geometry.motor
3,geometry.motor,geometry.fan
3,geometry.motor,power.fan
3,temperature.heater,power.fan
3,temperature.heater,material.body
3,material.nozzle,material.body
4,geometry.motor,temperature.motor
4,material.motor,temperature.motor
4,geometry.heater,temperature.motor
4,power.fan,geometry.fan
4,geometry.heater,geometry.fan
4,material.fan,material.fan
4,material.heater,material.heater
4,geometry.heater,power.heater
4,material.nozzle,power.heater
4,material.body,geometry.nozzle
