Tick,Attribute.Component,Origin
0,power.heater,power.heater
1,material.body,material.body
2,geometry.fan,geometry.fan
2,power.fan,power.heater
2,material.nozzle,power.heater
2,geometry.nozzle,geometry.nozzle
2,power.fan,material.body
2,temperature.heater,material.body
2,material.nozzle,material.body
3,rot.speed.fan,rot.speed.fan
3,geometry.motor,power.heater
3,temperature.motor,temperature.heater
3,geometry.nozzle,material.body
4,material.motor,power.heater
4,geometry.heater,power.heater
4,geometry.body,temperature.heater
4,rot.speed.fan,material.nozzle
4,geometry.heater,material.body
4,geometry.body,material.body
5,geometry.nozzle,temperature.motor
5,geometry.motor,geometry.fan
5,power.fan,temperature.heater
5,geometry.body,material.nozzle
5,material.heater,material.body
6,geometry.heater,material.motor
6,geometry.motor,temperature.motor
6,temperature.nozzle,rot.speed.fan
6,geometry.fan,power.heater
7,material.motor,temperature.motor
7,rot.speed.fan,temperature.motor
7,geometry.heater,temperature.motor
7,geometry.motor,power.fan
7,geometry.nozzle,power.fan
7,material.motor,material.body
8,power.motor,power.motor
8,material.body,temperature.motor
8,geometry.nozzle,temperature.heater
8,temperature.nozzle,temperature.heater
