Tick,Attribute.Component,Origin
0,temperature.motor,temperature.motor
0,power.fan,power.fan
1,geometry.motor,geometry.motor
1,power.motor,power.motor
1,power.heater,power.heater
1,material.body,material.body
2,geometry.nozzle,temperature.motor
2,material.body,power.fan
2,material.heater,material.heater
2,material.nozzle,power.heater
3,geometry.fan,geometry.motor
3,material.motor,material.motor
3,geometry.motor,temperature.motor
3,temperature.heater,temperature.motor
3,material.body,temperature.motor
3,material.fan,material.fan
3,power.heater,power.fan
3,geometry.nozzle,power.fan
