Tick,Attribute.Component,Origin
0,power.motor,power.motor
1,rot.speed.fan,rot.speed.fan
1,power.heater,power.heater
2,geometry.fan,geometry.fan
2,geometry.nozzle,geometry.nozzle
3,material.nozzle,rot.speed.fan
3,material.fan,material.fan
3,material.nozzle,power.heater
3,temperature.heater,temperature.heater
4,power.heater,geometry.fan
4,temperature.nozzle,rot.speed.fan
4,material.heater,material.heater
4,temperature.motor,geometry.nozzle
4,power.fan,geometry.nozzle
4,material.body,geometry.nozzle
4,material.body,material.nozzle
5,geometry.motor,power.motor
5,temperature.motor,rot.speed.fan
5,material.body,power.fan
5,geometry.body,temperature.heater
6,geometry.heater,power.motor
6,temperature.heater,temperature.motor
6,geometry.heater,material.fan
6,geometry.motor,power.fan
6,power.heater,power.fan
6,temperature.heater,geometry.nozzle
6,material.fan,material.nozzle
6,temperature.heater,temperature.nozzle
6,material.body,temperature.nozzle
7,material.fan,geometry.fan
7,geometry.nozzle,geometry.fan
7,material.motor,rot.speed.fan
7,temperature.heater,power.fan
7,material.motor,geometry.heater
7,material.heater,material.heater
7,temperature.nozzle,material.nozzle
