Tick,Attribute.Component,Origin
0,temperature.motor,temperature.motor
0,geometry.nozzle,geometry.nozzle
1,geometry.motor,geometry.motor
1,temperature.heater,temperature.motor
1,material.fan,material.fan
1,power.fan,power.fan
1,material.heater,material.heater
2,geometry.nozzle,temperature.motor
3,geometry.motor,temperature.motor
3,material.body,temperature.motor
3,rot.speed.fan,rot.speed.fan
3,geometry.body,temperature.heater
3,material.body,temperature.heater
4,material.motor,temperature.motor
4,rot.speed.fan,temperature.motor
4,geometry.heater,temperature.motor
4,temperature.heater,power.fan
4,geometry.nozzle,power.fan
4,material.body,power.fan
4,temperature.nozzle,material.heater
4,power.heater,power.heater
5,power.motor,power.motor
5,geometry.fan,geometry.fan
5,geometry.heater,material.fan
5,material.body,material.heater
5,temperature.heater,temperature.nozzle
5,material.nozzle,geometry.body
