Tick,Attribute.Component,Origin
0,material.fan,material.fan
0,power.heater,power.heater
0,temperature.heater,temperature.heater
1,material.motor,material.motor
1,geometry.fan,geometry.fan
1,material.nozzle,power.heater
1,temperature.motor,temperature.heater
1,material.body,material.body
2,geometry.motor,geometry.motor
2,material.heater,material.heater
2,geometry.heater,power.heater
2,temperature.nozzle,temperature.heater
2,geometry.body,temperature.heater
2,material.nozzle,material.body
3,geometry.heater,material.motor
3,geometry.nozzle,temperature.motor
3,material.motor,power.heater
3,geometry.fan,power.heater
3,power.fan,temperature.heater
3,geometry.nozzle,material.body
4,geometry.fan,geometry.motor
4,geometry.motor,temperature.motor
4,material.body,temperature.motor
4,geometry.heater,material.fan
4,power.fan,power.heater
4,rot.speed.fan,material.nozzle
4,rot.speed.fan,temperature.nozzle
4,geometry.nozzle,temperature.nozzle
4,material.nozzle,geometry.body
5,material.motor,temperature.motor
5,geometry.heater,temperature.motor
5,geometry.fan,material.fan
5,material.body,power.fan
5,material.heater,material.heater
5,material.body,geometry.body
6,power.fan,geometry.motor
6,power.fan,geometry.nozzle
6,material.heater,temperature.nozzle
7,power.motor,power.motor
7,geometry.motor,material.fan
7,material.body,geometry.heater
