Tick,Attribute.Component,Origin
0,geometry.nozzle,geometry.nozzle
0,material.body,material.body
1,geometry.fan,geometry.fan
1,material.fan,material.fan
1,material.heater,material.heater
1,power.fan,material.body
1,material.nozzle,material.body
2,geometry.motor,geometry.motor
2,power.motor,power.motor
2,temperature.motor,temperature.motor
2,temperature.motor,geometry.nozzle
2,power.fan,geometry.nozzle
2,geometry.nozzle,material.body
2,temperature.nozzle,material.body
3,power.heater,power.heater
3,geometry.body,geometry.body
3,temperature.motor,material.body
3,geometry.heater,material.body
3,geometry.body,material.body
4,power.fan,geometry.motor
4,temperature.heater,temperature.motor
4,power.heater,geometry.fan
4,material.motor,geometry.heater
4,temperature.nozzle,material.heater
4,temperature.nozzle,geometry.nozzle
4,rot.speed.fan,material.nozzle
4,material.heater,material.body
4,temperature.heater,material.body
