Tick,Attribute.Component,Origin
0,power.motor,power.motor
0,temperature.motor,temperature.motor
0,geometry.fan,geometry.fan
0,material.fan,material.fan
1,temperature.heater,temperature.motor
1,rot.speed.fan,rot.speed.fan
1,power.fan,power.fan
1,material.body,material.body
2,geometry.nozzle,temperature.motor
2,power.fan,material.body
2,temperature.heater,material.body
2,material.nozzle,material.body
3,geometry.motor,temperature.motor
3,material.body,temperature.motor
3,geometry.heater,geometry.fan
3,material.nozzle,rot.speed.fan
3,temperature.nozzle,rot.speed.fan
3,geometry.heater,material.fan
4,geometry.heater,power.motor
4,material.motor,temperature.motor
4,geometry.heater,temperature.motor
4,geometry.motor,geometry.fan
4,power.heater,geometry.fan
4,power.heater,power.fan
4,geometry.nozzle,power.fan
4,temperature.nozzle,temperature.heater
4,geometry.body,temperature.heater
