Tick,Attribute.Component,Origin,Failed Behaviour
0.0,rot.speed.fan,rot.speed.fan,
0.0,power.fan,power.fan,
1.0,material.body,material.body,
2.0,geometry.motor,geometry.motor,
2.0,material.nozzle,rot.speed.fan,
2.0,temperature.nozzle,rot.speed.fan,
2.0,geometry.nozzle,power.fan,
2.0,material.body,power.fan,
3.0,temperature.motor,temperature.motor,
3.0,geometry.motor,power.fan,
3.0,temperature.heater,power.fan,
3.0,material.heater,material.heater,
3.0,material.body,material.nozzle,
3.0,geometry.body,geometry.body,
4.0,material.motor,material.motor,
4.0,power.motor,power.motor,
4.0,temperature.heater,temperature.motor,
4.0,geometry.heater,power.fan,
4.0,temperature.motor,geometry.nozzle,
4.0,temperature.nozzle,geometry.nozzle,
4.0,material.body,geometry.nozzle,
4.0,power.heater,material.nozzle,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
