Tick,Attribute.Component,Origin,Failed Behaviour
0.0,power.motor,power.motor,
0.0,temperature.motor,temperature.motor,
0.0,material.fan,material.fan,
0.0,power.fan,power.fan,
0.0,material.body,material.body,
2.0,geometry.nozzle,temperature.motor,
2.0,rot.speed.fan,rot.speed.fan,
2.0,power.heater,power.fan,
2.0,geometry.nozzle,power.fan,
2.0,material.body,power.fan,
3.0,geometry.motor,temperature.motor,
3.0,material.body,temperature.motor,
3.0,temperature.heater,power.fan,
3.0,material.nozzle,power.heater,
4.0,material.motor,temperature.motor,
4.0,rot.speed.fan,temperature.motor,
4.0,geometry.heater,temperature.motor,
4.0,geometry.fan,geometry.fan,
4.0,geometry.nozzle,material.fan,
4.0,geometry.heater,power.fan,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
