Tick,Attribute.Component,Origin,Failed Behaviour
0.0,geometry.motor,geometry.motor,
0.0,power.heater,power.heater,
1.0,material.fan,material.fan,
1.0,material.heater,material.heater,
1.0,material.nozzle,power.heater,
1.0,temperature.heater,temperature.heater,
2.0,geometry.fan,geometry.motor,
2.0,power.fan,geometry.motor,
2.0,power.motor,power.motor,
2.0,geometry.heater,power.heater,
2.0,temperature.motor,temperature.heater,
2.0,geometry.nozzle,geometry.nozzle,
2.0,material.body,material.nozzle,
3.0,material.motor,material.motor,
3.0,rot.speed.fan,material.nozzle,
3.0,geometry.body,material.nozzle,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
