Tick,Attribute.Component,Origin,Failed Behaviour
0.0,material.motor,material.motor,
0.0,temperature.motor,temperature.motor,
0.0,power.fan,power.fan,
0.0,material.heater,material.heater,
0.0,material.body,material.body,
1.0,geometry.motor,geometry.motor,
1.0,temperature.heater,temperature.motor,
1.0,geometry.fan,geometry.fan,
1.0,material.body,power.fan,
2.0,power.motor,power.motor,
2.0,rot.speed.fan,rot.speed.fan,
2.0,geometry.nozzle,power.fan,
2.0,material.heater,material.heater,
2.0,temperature.nozzle,temperature.heater,
2.0,material.body,temperature.heater,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
