Tick,Attribute.Component,Origin,Failed Behaviour
0.0,material.motor,material.motor,
0.0,temperature.motor,temperature.motor,
0.0,geometry.fan,geometry.fan,
0.0,material.fan,material.fan,
1.0,geometry.heater,material.motor,
1.0,temperature.heater,temperature.motor,
2.0,power.motor,power.motor,
2.0,geometry.nozzle,temperature.motor,
2.0,geometry.motor,geometry.fan,
2.0,material.heater,material.heater,
2.0,material.body,temperature.heater,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
