Tick,Attribute.Component,Origin,Failed Behaviour
0.0,temperature.motor,temperature.motor,
0.0,power.heater,power.heater,
1.0,temperature.heater,temperature.motor,
2.0,geometry.nozzle,temperature.motor,
2.0,geometry.fan,geometry.fan,
2.0,material.heater,material.heater,
2.0,temperature.nozzle,temperature.heater,
2.0,material.body,material.body,
3.0,geometry.motor,geometry.motor,
3.0,geometry.motor,temperature.motor,
3.0,material.body,temperature.motor,
3.0,power.fan,power.fan,
3.0,geometry.fan,power.heater,
3.0,geometry.heater,power.heater,
4.0,rot.speed.fan,temperature.motor,
4.0,geometry.heater,temperature.motor,
4.0,material.nozzle,power.heater,
4.0,power.fan,temperature.heater,
4.0,power.fan,geometry.nozzle,
4.0,temperature.nozzle,geometry.nozzle,
4.0,material.body,geometry.nozzle,
5.0,geometry.fan,geometry.motor,
5.0,material.motor,temperature.motor,
5.0,geometry.motor,power.heater,
5.0,geometry.body,temperature.heater,
5.0,power.fan,material.body,
5.0,temperature.heater,material.body,
5.0,material.nozzle,material.body,
6.0,material.nozzle,rot.speed.fan,
6.0,temperature.nozzle,rot.speed.fan,
6.0,material.body,geometry.heater,
6.0,temperature.nozzle,material.heater,
6.0,material.body,material.heater,
6.0,power.fan,power.heater,
7.0,power.fan,geometry.motor,
7.0,material.fan,material.fan,
7.0,geometry.motor,material.heater,
8.0,geometry.heater,geometry.fan,
8.0,geometry.fan,geometry.nozzle,
8.0,material.body,temperature.nozzle,
9.0,material.motor,rot.speed.fan,
9.0,material.motor,geometry.heater,
9.0,material.motor,power.heater,
9.0,geometry.body,geometry.nozzle,
9.0,geometry.body,material.nozzle,
10.0,material.body,rot.speed.fan,
10.0,geometry.heater,material.fan,
10.0,material.body,material.fan,
10.0,temperature.nozzle,material.nozzle,
11.0,material.nozzle,material.fan,
11.0,geometry.nozzle,temperature.heater,
12.0,material.motor,geometry.motor,
12.0,geometry.fan,material.fan,
12.0,geometry.nozzle,material.fan,
12.0,geometry.heater,power.fan,
12.0,material.heater,material.heater,
12.0,material.body,geometry.body,
13.0,material.fan,geometry.motor,
14.0,power.motor,geometry.motor,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
