Tick,Attribute.Component,Origin,Failed Behaviour
0.0,rot.speed.fan,rot.speed.fan,
0.0,material.fan,material.fan,
0.0,material.heater,material.heater,
0.0,power.heater,power.heater,
1.0,material.nozzle,power.heater,
2.0,temperature.motor,temperature.motor,
2.0,material.nozzle,rot.speed.fan,
2.0,power.fan,power.heater,
2.0,geometry.heater,power.heater,
2.0,geometry.nozzle,geometry.nozzle,
3.0,geometry.motor,geometry.motor,
3.0,power.motor,power.motor,
3.0,geometry.heater,material.fan,
3.0,material.body,power.fan,
3.0,geometry.motor,power.heater,
3.0,temperature.heater,temperature.heater,
3.0,material.body,material.nozzle,
4.0,geometry.nozzle,temperature.motor,
4.0,geometry.fan,geometry.fan,
4.0,temperature.motor,rot.speed.fan,
4.0,temperature.nozzle,rot.speed.fan,
4.0,material.heater,material.heater,
5.0,power.fan,geometry.motor,
5.0,material.motor,rot.speed.fan,
5.0,geometry.motor,material.fan,
5.0,geometry.fan,material.fan,
5.0,material.body,geometry.heater,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
