Tick,Attribute.Component,Origin,Failed Behaviour
0.0,material.body,material.body,
1.0,geometry.motor,geometry.motor,
1.0,material.motor,material.motor,
1.0,temperature.motor,temperature.motor,
2.0,geometry.heater,material.motor,
2.0,temperature.heater,temperature.motor,
2.0,rot.speed.fan,rot.speed.fan,
2.0,power.fan,material.body,
2.0,geometry.heater,material.body,
2.0,geometry.nozzle,material.body,
2.0,material.nozzle,material.body,
3.0,power.heater,material.motor,
3.0,geometry.nozzle,temperature.motor,
3.0,geometry.fan,geometry.fan,
3.0,material.fan,material.fan,
3.0,material.body,temperature.heater,
4.0,temperature.motor,geometry.motor,
4.0,power.fan,geometry.motor,
4.0,power.motor,power.motor,
4.0,material.nozzle,rot.speed.fan,
4.0,material.nozzle,power.heater,
4.0,geometry.body,temperature.heater,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
