Tick,Attribute.Component,Origin,Failed Behaviour
0.0,temperature.motor,temperature.motor,
0.0,material.fan,material.fan,
0.0,power.fan,power.fan,
0.0,material.heater,material.heater,
1.0,material.motor,material.motor,
1.0,rot.speed.fan,rot.speed.fan,
1.0,material.body,power.fan,
1.0,power.heater,power.heater,
2.0,power.motor,power.motor,
2.0,geometry.nozzle,temperature.motor,
2.0,geometry.nozzle,material.fan,
2.0,geometry.motor,power.fan,
2.0,power.heater,power.fan,
2.0,geometry.nozzle,power.fan,
2.0,temperature.heater,temperature.heater,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
