Tick,Attribute.Component,Origin,Failed Behaviour
0.0,power.motor,power.motor,
0.0,power.heater,power.heater,
0.0,material.body,material.body,
1.0,geometry.motor,geometry.motor,
1.0,temperature.motor,temperature.motor,
1.0,power.fan,power.fan,
1.0,material.nozzle,power.heater,
1.0,temperature.heater,temperature.heater,
1.0,power.fan,material.body,
1.0,material.nozzle,material.body,
2.0,material.motor,material.motor,
2.0,material.heater,material.heater,
2.0,geometry.heater,power.heater,
2.0,temperature.motor,temperature.heater,
2.0,geometry.nozzle,geometry.nozzle,
2.0,geometry.heater,material.body,
2.0,geometry.nozzle,material.body,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
