Tick,Attribute.Component,Origin,Failed Behaviour
0.0,power.motor,power.motor,
0.0,geometry.fan,geometry.fan,
0.0,rot.speed.fan,rot.speed.fan,
0.0,power.heater,power.heater,
1.0,material.heater,material.heater,
1.0,temperature.heater,temperature.heater,
2.0,geometry.motor,geometry.motor,
2.0,geometry.motor,geometry.fan,
2.0,material.nozzle,rot.speed.fan,
2.0,geometry.heater,power.heater,
2.0,material.nozzle,power.heater,
2.0,temperature.motor,temperature.heater,
3.0,material.motor,material.motor,
3.0,geometry.heater,geometry.fan,
3.0,material.heater,material.heater,
3.0,power.fan,power.heater,
3.0,material.body,material.nozzle,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
